Ticker,MAPE (%),RMSE,Split,MAE,Model,R²,Directional Accuracy (%),Rank_RMSE,Rank_MAE
FPT,1.381,1.63,70_30,1.2,ARIMA,0.9884,55.09,1,1
FPT,1.384,1.63,70_30,1.2,SVR,0.9886,47.72,1,1
FPT,1.44,1.67,70_30,1.24,Linear Regression,0.988,51.75,3,3
FPT,1.389,1.8,70_30,1.33,GRU,0.9884,48.07,4,4
FPT,1.39,1.8,70_30,1.33,LSTM,0.9883,47.89,4,4
FPT,3.886,6.46,70_30,4.05,Transformer,0.9197,51.31,6,6
FPT,36.229,42.08,70_30,36.15,Facebook Prophet,-2.41,49.48,7,7
HPG,1.18,0.37,70_30,0.26,ARIMA,0.9721,48.53,3,3
HPG,1.183,0.37,70_30,0.26,GRU,0.9721,45.32,3,3
HPG,1.166,0.37,70_30,0.26,Linear Regression,0.9725,53.66,3,3
HPG,1.185,0.37,70_30,0.26,LSTM,0.9721,44.04,3,3
HPG,1.165,0.37,70_30,0.26,SVR,0.9724,54.21,3,3
HPG,7.125,1.71,70_30,1.46,Transformer,0.7498,49.66,6,6
HPG,91.413,21.95,70_30,21.12,Facebook Prophet,-40.2296,50.47,7,7
VCB,0.951,0.92,70_30,0.58,GRU,0.9175,49.91,1,2
VCB,0.948,0.92,70_30,0.58,SVR,0.9175,51.52,1,2
VCB,0.95,0.93,70_30,0.58,ARIMA,0.9164,52.55,3,2
VCB,0.953,0.93,70_30,0.58,LSTM,0.9171,48.96,3,2
VCB,1.006,0.94,70_30,0.61,Linear Regression,0.9151,50.0,5,5
VCB,2.025,1.75,70_30,1.22,Transformer,0.8051,52.54,6,6
VCB,22.182,13.81,70_30,13.34,Facebook Prophet,-11.0775,51.03,7,7
VIC,1.822,3.56,70_30,1.96,GRU,0.9978,55.53,1,1
VIC,1.832,3.57,70_30,1.97,LSTM,0.9978,55.34,2,2
VIC,1.858,3.62,70_30,2.02,ARIMA,0.9977,54.17,3,3
VIC,1.876,3.67,70_30,2.05,SVR,0.9977,44.47,4,4
VIC,1.975,3.79,70_30,2.15,Linear Regression,0.9975,46.99,5,5
VIC,12.695,36.09,70_30,15.33,Transformer,0.4332,47.89,6,6
VIC,74.105,67.61,70_30,43.42,Facebook Prophet,-0.9885,46.62,7,7
VNM,1.055,0.93,70_30,0.62,ARIMA,0.9437,55.41,3,2
VNM,1.057,0.93,70_30,0.62,GRU,0.9436,52.66,3,2
VNM,1.072,0.93,70_30,0.63,Linear Regression,0.9435,54.31,3,5
VNM,1.057,0.93,70_30,0.62,LSTM,0.9435,57.98,3,2
VNM,1.065,0.93,70_30,0.62,SVR,0.9432,54.31,3,2
VNM,1.167,1.01,70_30,0.71,Transformer,0.9332,52.57,6,6
VNM,13.889,10.1,70_30,8.5,Facebook Prophet,-5.6927,53.25,7,7
FPT,1.511,1.68,80_20,1.22,ARIMA,0.9823,54.35,1,1
FPT,1.527,1.68,80_20,1.24,SVR,0.9818,44.59,1,2
FPT,1.554,1.69,80_20,1.25,Linear Regression,0.9816,50.4,3,3
FPT,1.516,1.85,80_20,1.35,GRU,0.9825,45.12,4,4
FPT,1.517,1.85,80_20,1.35,LSTM,0.9824,44.59,4,4
FPT,4.311,6.13,80_20,4.65,Transformer,0.7961,50.0,6,6
FPT,19.794,25.23,80_20,21.01,Facebook Prophet,-2.4536,49.42,7,7
HPG,1.289,0.42,80_20,0.29,ARIMA,0.9615,50.82,3,3
HPG,1.285,0.42,80_20,0.29,GRU,0.9616,52.73,3,3
HPG,1.275,0.42,80_20,0.29,Linear Regression,0.9622,53.55,3,3
HPG,1.288,0.42,80_20,0.29,LSTM,0.9616,48.91,3,3
HPG,1.276,0.42,80_20,0.29,SVR,0.9618,53.83,3,3
HPG,2.293,0.67,80_20,0.54,Transformer,0.9329,53.33,6,6
HPG,7.941,2.25,80_20,1.83,Facebook Prophet,0.2503,50.1,7,7
VCB,1.138,1.08,80_20,0.7,GRU,0.9178,51.97,2,3
VCB,1.137,1.08,80_20,0.7,LSTM,0.9176,47.47,2,3
VCB,1.132,1.08,80_20,0.69,SVR,0.918,52.25,2,1
VCB,1.144,1.09,80_20,0.7,ARIMA,0.9165,52.25,4,3
VCB,1.147,1.09,80_20,0.7,Linear Regression,0.9168,52.53,4,3
VCB,2.112,2.17,80_20,1.33,Transformer,0.5663,55.83,6,6
VCB,23.857,16.19,80_20,14.35,Facebook Prophet,-23.1114,48.54,7,7
VIC,2.392,4.36,80_20,2.87,GRU,0.9962,60.4,1,1
VIC,2.415,4.37,80_20,2.89,LSTM,0.9962,58.4,2,2
VIC,2.45,4.43,80_20,2.97,ARIMA,0.9961,53.85,3,3
VIC,2.479,4.49,80_20,3.01,SVR,0.996,40.74,4,4
VIC,2.557,4.6,80_20,3.11,Linear Regression,0.9958,48.43,5,5
VIC,18.681,46.77,80_20,24.08,Transformer,0.2655,48.3,6,6
VIC,54.212,76.65,80_20,49.37,Facebook Prophet,-0.973,43.4,7,7
VNM,1.206,1.03,80_20,0.7,ARIMA,0.9421,55.04,1,1
VNM,1.216,1.04,80_20,0.71,GRU,0.9415,55.86,3,3
VNM,1.226,1.04,80_20,0.71,Linear Regression,0.942,54.62,3,3
VNM,1.219,1.04,80_20,0.71,SVR,0.9415,53.26,3,3
VNM,1.236,1.05,80_20,0.72,LSTM,0.9402,45.5,5,5
VNM,1.283,1.14,80_20,0.77,Transformer,0.9231,52.13,6,6
VNM,5.144,3.84,80_20,3.05,Facebook Prophet,0.1199,52.13,7,7
